F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,target
-7.887904726756503e-18,-1.0950641944506545e-18,-1.1819463929678546e-17,-1.7875904708168517e-17,-5.341191810516961e-18,9.058580302447708e-06,-33292501.281163793,-6.621653786198105e-18,-4.376459165412102e-18,-6.284222582379379e-18,-7.382960784990975e-18,7.753018103954959e-07,0.590818363273453,0.2155688622754491,5.168872968515358e-05,2.440952994377754e-08,1203.9122959297001,0.3266546173103051,4.9987471333603936e-05,-3.33844124740653e-05,0.005988023952095809,-0.00011328171949666631,0.5588822355289421,61.27911993865444,0.18562874251497005,3.3418860898038036e-05,1.8945734555092915,2.3063121475928862e-07,4.5204720991210355e-05,0.005988023952095809,1050224727.7618829,1.3963226223562098e-05,6.488162565412542e-05,-0.05343667287331765,5.540446386394622e-13,0.0001213877195295673,8.412654642443264e-05,0.013972055888223553,-2.9189554717242838e-06,-3.7217454120838616e-05,125.99108995212289,-0.36338318567432376,130.02955703800492,False
-9.913172524828433e-18,1.6283837060272725e-17,-2.3839230607734247e-17,-5.270719854792779e-18,2.8112850814076345e-17,8.76056051704816e-06,-351229712.6758245,-2.3977446582747457e-18,-8.848691858687299e-18,1.9145742145593785e-18,-2.711219602711123e-17,2.523628466563485e-06,0.6167664670658682,0.2155688622754491,3.539825416467089e-05,3.123516890674172e-08,-2552.9255307327408,-0.17016078937159707,7.641598340170693e-05,-0.00010227828847700913,0.005988023952095809,-1.156543971454633e-05,0.5688622754491018,-58.12980297932718,0.17564870259481039,5.0477192405695785e-05,2.0412658303848956,4.971033598829209e-07,0.0002851740486140785,0.003992015968063872,-719030105.9035348,1.6069717694265727e-05,0.0001275573313499328,-0.03919551011065495,4.484976549886264e-13,-0.00015200172733785943,4.028769856575666e-05,0.00998003992015968,9.065167009210314e-05,4.882120795277181e-05,71.01703588740588,-0.3411453301629885,-44.81664258984652,False
9.590422392533991e-17,-1.2587087818319873e-16,-1.4326616254525657e-17,-2.4077988691409972e-17,-1.216638254878926e-16,6.258798817091795e-06,-500221465.1709929,-1.2519348568514643e-17,-5.75562305151364e-18,8.391487488619671e-17,1.1813658910995514e-16,2.650765874345324e-05,0.656686626746507,0.22954091816367264,-0.00044109725013203346,7.302870120351005e-08,208.90718395427402,-0.6193775676474491,6.952393909518526e-05,-1.9118714947836795e-05,0.0,9.802896559427435e-06,0.5688622754491018,163.3989374624437,0.11776447105788423,7.363297740585947e-05,2.12138006689272,4.819833119841386e-07,0.0009752931748750402,0.0,-312311635.04143405,2.1964462331287005e-05,4.9693877940998275e-05,-0.036290118015964046,3.378864756672262e-13,-6.386043714976702e-05,2.7947430635218544e-05,0.003992015968063872,3.877388149137602e-05,3.818975205963199e-05,88.69479976117046,-0.3390947435454382,-154.38935683755702,True
1.8424750812295205e-17,2.6936179564657335e-17,-3.713067910052939e-17,-3.394036494100704e-18,3.1539954600303684e-17,6.8605467625625025e-06,-278379820.9888417,-1.6232525482324683e-18,-1.2338012154137984e-17,9.733417956685079e-18,2.7731331202957282e-17,3.6887130233157657e-06,0.6227544910179641,0.22954091816367264,7.673294854687948e-05,3.618622519105202e-08,2259.7600419354803,-0.3734448922998794,8.383422251004591e-05,3.8630763377276195e-05,0.0,-1.1013191788890282e-05,0.5768463073852296,161.98197352871387,0.18762475049900199,3.6408599834269034e-05,2.145281974671713,3.792466237549308e-07,0.0002368077308872887,0.0,-3637352659.196769,1.821422713957667e-05,0.0003144849789041799,-0.036342660294268476,4.1951256224707485e-13,8.642154758919414e-05,5.510323712992332e-05,0.0,5.266726802403548e-05,3.65895486164777e-05,52.139103053945945,-0.6298243656166229,-60.93469879937164,True
-1.1724144026839498e-16,-4.0810218319419643e-16,7.164557895646658e-18,-1.0270176298750459e-16,-5.062610775630793e-16,6.8361422189643344e-06,-329519563.6806873,-4.0049010063818587e-17,-1.5811045735967041e-19,3.4726399299790063e-17,-3.496162086346644e-16,5.6036798264972665e-06,0.6586826347305389,0.20958083832335328,0.00030809167931969785,1.114972776622531e-07,438.945329030833,-0.015852712762477683,4.8749457534225706e-05,-0.0001078522626746265,0.007984031936127744,-9.524057106573364e-05,0.5608782435129741,-78.41629801010775,0.16367265469061876,-5.390309499792488e-05,1.9706786796322577,1.0333645190586715e-06,-8.029235542838235e-05,0.003992015968063872,227313050.37319332,3.119196799217177e-05,0.00045729621739629535,-0.03616786506128934,5.48187269590672e-13,4.718186201566349e-06,0.0001014022030201008,0.013972055888223553,-0.0003325151432184095,-1.0525070128185606e-05,-122.53388284851343,0.10197742116674516,-31.118098026057822,True
-1.5580608996483414e-17,-1.707791202058543e-17,-4.474038063994901e-17,-2.095149553007761e-18,-8.886137673051029e-18,9.722493711973408e-06,-159259553.66205487,-1.2404455667019103e-18,-1.7875107944876385e-17,-1.1717626579195025e-17,-1.5047600147987338e-17,-3.7327198938533365e-06,0.6287425149700598,0.21157684630738524,8.881113307188389e-05,2.8297294073141503e-08,1073.5674784167563,-0.034704348835710164,5.9217287165760205e-05,3.147799429824642e-05,0.001996007984031936,2.3205539415032646e-05,0.564870259481038,71.70279831548216,0.17365269461077845,-2.3540456704482448e-05,1.9622756697606343,6.66100803236213e-07,-0.000679475814809357,0.0,-58295513.10067901,2.837110097125464e-05,5.3342417414029934e-05,-0.034698313562154824,5.64360730150785e-13,2.8583588804976432e-06,7.714206739418728e-05,0.015968063872255488,-4.6928639947786835e-05,6.57810516807585e-05,-156.35442982231658,-0.5508748308877128,50.763042370657296,False
4.886844649512824e-19,1.0085629749904673e-17,1.8813439071822017e-18,6.909275926278143e-19,-3.6736358085028454e-18,1.1061293240470995e-05,70817268.08777466,-5.1394317042332405e-19,1.2194693148501125e-18,1.7835924378209994e-19,2.4887188909068127e-18,-1.7577250204525988e-06,0.6287425149700598,0.1996007984031936,4.110918818561468e-05,3.31511434285124e-08,454.83441091054334,0.5358289011754849,5.397608580697934e-05,0.0002186067169939221,0.005988023952095809,-0.00011452020028723982,0.5528942115768463,-67.22449762744927,0.17165668662674652,-4.690661671289439e-05,1.8462961045171813,4.887128226263984e-07,0.0002206504585464347,0.005988023952095809,934904293.8494618,1.5715804356381652e-05,0.0004977175526958093,-0.043040046361868714,5.624432390330109e-13,-1.3469605836435031e-05,9.94425613084249e-05,0.011976047904191617,4.119151305488308e-05,-6.086460690706105e-05,-72.44294248645008,-0.37426365910740444,53.506272548633106,True
-8.544652328676042e-18,3.2051039424995557e-18,-2.278727289062833e-17,-7.998334124718843e-18,-1.44373354506851e-17,7.319589014208086e-06,-336439381.00375015,-5.5690950901591925e-18,-9.639536179997526e-18,2.8302177534349985e-18,-2.7741286173714138e-17,3.2869244598363113e-06,0.6467065868263473,0.21956087824351297,8.70214258691698e-06,3.5385134087638964e-08,-308.06524887780273,-0.17027216249173316,0.00010606581396868635,2.432321714330141e-05,0.0,0.00010827724065692412,0.5668662674650699,-116.1758530151518,0.17165668662674652,-2.7137823600517197e-05,2.0416166978754093,3.150906378725466e-07,-8.70280478920277e-06,0.0,-1790504122.568585,1.1855881175741265e-05,0.0003366136908158424,-0.047914331171716125,3.6090387854588077e-13,8.951779660715321e-05,0.00018575019519833893,0.013972055888223553,-2.3547475485424326e-05,1.2677955246183563e-05,-75.16898598014946,-0.18869452964458072,-125.6308616581878,True
-3.2002669075677335e-18,-6.976153759284454e-18,-2.7143764103229387e-17,-3.735582143300211e-18,-1.580862565011467e-17,6.062456770128897e-06,-1284394473.6815455,-1.5673456334243327e-18,-9.386030073839535e-18,-6.7177297588621734e-18,3.217479100487635e-18,9.303241678958541e-07,0.5748502994011976,0.2215568862275449,7.483439531457359e-05,3.730288503004321e-08,-79.14990417344953,0.130609676039946,1.2616370715926318e-05,7.411181966446312e-05,0.003992015968063872,-2.8709404972314576e-05,0.562874251497006,-95.74921494532357,0.17165668662674652,-6.296504691248627e-06,1.9474766314953893,2.5494982482771884e-07,-0.00020119076038572852,0.0,1064235891.2058847,1.3347931036922933e-05,0.0001693727498110089,-0.05036037621984554,1.8064579137966792e-13,9.655480189182082e-05,2.6556236019617615e-05,0.011976047904191617,5.773988223637713e-05,6.418170515486828e-05,-172.2434381199186,-0.894419752386989,-137.16076022933848,True
2.064576780785427e-17,3.938756988587291e-19,-2.032608229981712e-17,-1.4275391804209572e-17,-6.414767152922299e-18,8.84523004380096e-06,-380145850.44875777,-6.428251854256455e-18,-7.94449769033797e-18,4.2110389159147156e-18,1.3906917389155852e-17,-2.1377825542698085e-06,0.5808383233532934,0.20359281437125748,-1.1598779701082388e-05,3.199828093243229e-08,4120.716095579035,0.6025791843489245,5.685748021724938e-05,-0.00012084676196287433,0.007984031936127744,0.00010517864691697178,0.5449101796407185,89.75699082418708,0.17764471057884232,-3.328686113504629e-05,1.8767556147061808,2.9534546707369507e-07,-0.00036867063232997335,0.005988023952095809,-1200056263.3997808,1.4468120992646757e-05,0.0002617976188657374,-0.04436404827579543,6.700093457332289e-13,3.433200625967584e-06,4.73855699110745e-05,0.023952095808383235,6.604430215748638e-05,-4.344016885770344e-06,-67.14543520652573,-0.3862732478464712,139.41780170461246,False
